as_of_date,published_date,country,category,visa_status,pd_year,pd_month,count,suppressed,source_url
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,9,73,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,9,217,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,9,931,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,10,49,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,10,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,10,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,10,18,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,10,18,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,10,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,10,49,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,10,103,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,10,217,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,10,1342,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,11,50,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,11,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,11,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,11,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,11,11,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,11,24,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,11,36,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,11,114,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,11,313,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,11,1323,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,0,12,49,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2015,12,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2016,12,27,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2017,12,17,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2018,12,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2019,12,40,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2020,12,29,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2021,12,122,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2022,12,602,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB1,available,2023,12,1184,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,0,1,15,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2015,1,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2016,1,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2017,1,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2018,1,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2019,1,55,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2020,1,53,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2021,1,145,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2022,1,240,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,0,2,16,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2015,2,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2017,2,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2018,2,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2019,2,29,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2020,2,114,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2021,2,141,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2022,2,288,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,0,3,11,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2015,3,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2016,3,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2017,3,16,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2018,3,14,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2019,3,55,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2020,3,42,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2021,3,177,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2022,3,425,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,0,4,22,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2015,4,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2016,4,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2017,4,15,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2018,4,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2019,4,86,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2020,4,69,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2021,4,219,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2022,4,543,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,0,5,14,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2015,5,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2016,5,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2017,5,19,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2018,5,24,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2019,5,69,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2020,5,85,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2021,5,236,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2022,5,706,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,0,6,23,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2016,6,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2017,6,13,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2018,6,33,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2019,6,83,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2020,6,105,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2021,6,354,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2022,6,980,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,0,7,13,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2015,7,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2016,7,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2017,7,14,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2018,7,32,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2019,7,95,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2020,7,127,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2021,7,252,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2022,7,1362,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,0,8,24,false,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
2024-02-22,2024-06-12,rest_of_world,EB2,available,2015,8,,true,https://www.uscis.gov/sites/default/files/document/reports/eb_inventory_02222024.xlsx
